LEMFORDER;2540901;A2033200273;Опора перед.амортизатора;2276,3;1
LEMFORDER;3017801;4D0419831D;Пыльник рулевой тяги;227,63;1
Zf parts;8001624;A0034669301;Насос ГУР;10778,95;1
FORD;1381796;1381796;Насос водяной;3950,05;2
FORD;1432205;1432205;Кольцо уплотнительное;107,12;2
LEX;CC-3444;55242892;Цилиндр рабочий сцепления;1205,1;1
LEX;CK-4400;D651-26-15XB;Ступица колеса;2142,4;2
LEX;HG-2826;1569693;Насос гидроусилителя;5369,39;1
LEX;PB-4425;99441398;Патрубок;194,155;2
LEX;PY-4646;735421717;Кнопка стеклоподъемника правая;1205,1;1
LEX;RK-7880;98845064;Разводной механизм задних колодок Albea левый;723,06;4
LEX;RK-7881;98845065;Разводной механизм задних колодок Albea правый;723,06;4
LEX;RK-7882;9949460;мех-м самоподвода;863,655;4
LEX;TR-3469;1419538;Трос тормоза ручного;502,125;4
FIAT;7775575;7775575;Направляющая стекла;160,68;10
FIAT;7798609;7798609;Направляющая стекла;431,8275;7
FIAT;40004620;40004620;Сальник полуоси левый 36*56*13.5/10;467,9805;20
FIAT;40004950;40004950;Сальник к/в передний 40*56*7;381,615;1
FIAT;46313621;46313621;Механизм приводной;7900,1;1
FIAT;46418380;46418380;Бачок ГУР;3340,805;1
FIAT;46544820;46544820;Фильтр масляный;328,055;36
FIAT;46556651;46556651;Сальник клапана;167,375;2
FIAT;46743794;46743794;Поддон картера;3280,55;1
FIAT;46750545;46750545;Свеча 5692 1.2 16V;241,02;4
FIAT;46754393;46754393;Опора капота нижняя;261,105;2
FIAT;46790829;46790829;Замок (часть) капота;461,955;1
FIAT;46796050;46796050;Свеча накаливания  1.3D, JTD , CDTI;602,55;6
FIAT;46800214;46800214;Трос КПП;2611,05;1
FIAT;46804721;46804721;Повторитель поворота;421,785;2
FIAT;46815125;46815125;Помпа;3213,6;1
FIAT;46817374;46817374;Датчик спидометра;1566,63;1
FIAT;46823507;46823507;Распредвал выпускной;7431,45;1
FIAT;46823508;46823508;Распредвал впускной;5289,05;1
FIAT;46849068;46849068;Радиатор интеркулера;5489,9;1
FIAT;51708823;51708823;Амортизатор передний;3213,6;2
FIAT;51708825;51708825;амортизатор задний;2169,18;8
FIAT;51725099;51725099;Датчик ABS передний;1774,175;1
FIAT;51755716;51755716;Воздухозаборник фильтра;1205,1;1
FIAT;51757818;51757818;Замок верхний правый распашной двери;1392,56;1
FIAT;51757819;51757819;Замок верхний левый распашной двери;1392,56;1
FIAT;51759335;51759335;Кулак правый;6695;1
FIAT;51762065;51762065;Опора двигателя правая;3280,55;1
FIAT;51774461;51774461;Трубка кондиционера;6360,25;1
FIAT;51774531;51774531;Расходомер воздуха;3481,4;1
FIAT;51774906;51774906;Воздухозаборник фильтра возд;1740,7;1
FIAT;51785487;51785487;Втулка стабилизатора;1205,1;2
FIAT;51794549;51794549;Хомут;257,7575;2
FIAT;51816582;51816582;Решетка вентиляции кузова;803,4;1
FIAT;51837342;51837342;Регулятор тормозов;4820,4;1
FIAT;55171387;55171387;К-т клыков бампера зад правый-левый;6159,4;1
FIAT;55192726;55192726;Цилиндр сцепления главный;3534,96;3
FIAT;55195304;55195304;Насос масляный;10845,9;2
FIAT;55196191;55196191;Цилиндр сцепления рабочий albea;2979,275;5
FIAT;55197124;55197124;Форсунка топливная;12051;1
FIAT;55198906;55198906;Воздухозаборник;1506,375;1
FIAT;55200418;55200418;Поддон картера;4820,4;1
FIAT;55202374;55202374;Датчик давления масла;428,48;1
FIAT;55208624;55208624;Шатун;6293,3;2
FIAT;55228891;55228891;Трос переключения КПП;4820,4;1
FIAT;55232196;55232196;Насос масляный;10310,3;1
FIAT;55233759;55233759;Ролик ГРМ;1673,75;9
FIAT;55238294;55238294;Теплообменник в сборе (корпус масл. фильтра);6628,05;1
FIAT;55242892;55242892;Цилиндр сцепления рабочий;2075,45;1
FIAT;71718861;71718861;Направляющая кулисы КПП;903,825;1
FIAT;71745097;71745097;Кольца поршневые STD (1 цилиндр);1971,6775;4
FIAT;71753156;71753156;Ремень ГРМ;1071,2;12
FIAT;71754491;71754491;Сальник к/в задний  74*88*8;1071,2;1
FIAT;73501343;73501343;Турбина;26110,5;1
FIAT;77362453;77362453;Колодки задние;2142,4;7
FIAT;77363837;77363837;Мотор вентилятора печки;4679,805;1
FIAT;77364318;77364318;Колодки тормозные;2410,2;1
FIAT;77364477;55175317;Колодки тормозные дисковые, комплект;1526,46;4
FIAT;504127558;504127558;Датчик температуры;1071,2;1
FIAT;504360588;504360588;К-т сцепления;11917,1;4
FIAT;735308076;735308076;Блок кнопок стеклопод. передней правой двери;1506,375;1
FIAT;735309929;735309929;Заглушка бампера переднего;415,09;2
FIAT;735331064;735331064;Заглушка бампера заднего;301,275;1
FIAT;735417034;735417034;Кнопка стеклоподъемника правая;1941,55;2
FIAT;735418096;735418096;Решетка радиатора;2811,9;1
FIAT;1304711080;1304711080;Упор капота;160,68;2
FIAT;1305589080;1305589080;Регулятор оборотов отопителя;1205,1;11
FIAT;1319277080;1319277080;Опора амортизатора (тарелка);1941,55;5
FIAT;1320987080;1320987080;Пыльник подшипника опоры амортизатора;167,375;3
FIAT;1324710080;1324710080;Воздушная направляющая радиатора интеркулера;1539,85;1
FIAT;1326778080;1326778080;Крышка мотора с/о;1205,1;2
FIAT;1330637080;1330637080;Решетка воздухозаборника правая;3782,675;1
FIAT;1331641080;1331641080;"Опора шаровая (колёса 16"")";1640,275;4
FIAT;1335777080;1335777080;Замок распашной двери верхний;1339;2
FIAT;1340293080;1340293080;Патрубок расширительного бачка;843,57;2
FIAT;1341674080;1341674080;Повторитель поворота на крыле;435,175;4
FIAT;1344234080;1344234080;Ролик двери верхний;3883,1;1
FIAT;1348840080;1348840080;Трос капота;1302,1775;1
FIAT;51757651;51757651;Амортизатор передний БЕЗ АБС газовый;3347,5;4
FIAT;9667044780;9667044780;Прокладка турбины;64,272;4
FIAT;9662282980;9662282980;Прокладка теплообменника;214,24;1
FIAT;9664278780;9664278780;Прокладка насоса ТНВД;401,7;1
FIAT;1489891080;1489891080;Вилка привода сцепления;3950,05;2
FIAT;9402372699;9402372699;Комплект подшипников вторичного вала;3950,05;2
FIAT;1351203080;1351203080;Болт колёсный;167,375;8
FIAT;51745702;1606374680;Подшипник ступицы пер;3280,55;1
FIAT;2052W2;2052W2;Сцепление, комплект двухмассовое 120 л.с;9373;3
FIAT;55208346;55208346;Трос КПП;10310,3;1
FIAT;55346163;55346163;Рычаг переключения передач;14729;1
FIAT;1347700080;1347700080;Интеркулер;12051;1
FIAT;9662282580;9662282580;Фильтр масляный;348,14;10
FIAT;9659173880;9659173880;Датчик давления масла;328,055;1
FIAT;9663660880;9663660880;Шланг системы охлаждения;1205,1;1
FIAT;1340359080;1340359080;Радиатор двигателя;9373;2
FIAT;1333085080;1333085080;Крышка топливного бака;1071,2;5
FIAT;9659690180;9659690180;Прокладка клапана рециркуляции;59,5855;2
FIAT;9659710080;1618R8;Прокладка клапана рециркуляции;49,543;2
FIAT;9467558480;9467558480;Сцепление, комплект одномассовое 100л.с.- >>2011;9406,475;3
FIAT;9464867280;9464867280;Ремень приводной;803,4;1
FIAT;1366455080;1366455080;Фонарь задний правый;3280,55;1
FIAT;1348579080;1348579080;Бачок стеклоомывателя;3012,75;1
FIAT;71752217;6434C5;Насос омывателя;475,345;1
FIAT;735423238;735423238;Бампер задний;4619,55;1
FIAT;1606887780;1606887780;К-т сцепления PSA Boxer 2.2 PUMA 120 л.с. Одномасс 2011-;10444,2;3
LEX;CU-7270;1223616;Суппорт тормозной;2276,3;1
LEX;CU-7271;1223615;Суппорт тормозной;2276,3;1
LEX;CU-7274;1130121;Суппорт тормозной, задний;2142,4;1
LEX;DC-1332;3B0927807C;Датчик АБС;461,955;1
LEX;DC-1333;4B0927803B;Датчик вращения колеса [ABS] передний;522,21;1
