№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание
344; Зеркло правое (aspherical); Mazda 6; ;  Taiwan; ; ;2008;2012;1;5000; 
345; Зеркло левое (aspherical); Mazda 6; ;  Taiwan; ; ;2008;2012;1;5000; 
346; Зеркло правое (convex); Mazda 6; ;  Taiwan; ; ;2008;2012;1;2250; 
347; Зеркло левое (convex); Mazda 6; ;  Taiwan; ; ;2008;2012;1;2250; 
348; Зеркло правое; VW Passat; ;  Taiwan; ; ;2006;2010;1;4500; 
349; Зеркло левое; VW Passat; ;  Taiwan; ; ;2006;2010;1;4500; 
350; Зеркло салонное; Nissan Patfinder ; Б/у;  б/у; ; ;2005;2010;1;3000; 
351; Зеркло правое; Honda Civic 4d; ;  Taiwan; ; ;2006;2010;1;3500; 
352; Зеркло правое; Hyundai Sonata ; Б/у;  б/у; ; ;2002;2007;1;2500; 
353; Зеркло левое*; Hyundai Sonata ; Б/у;  б/у; ; ;2002;2007;1;3000; 
354; Зеркло заднего вида  0477; Hyundai Getz; Б/у;  б/у; ; ;2002;2005;1;1000; 
355; Зеркло правое; Nissan Primera; Б/у;  б/у; ; ;2002;2007;1;5000; 
356; Зеркло правое; Renault Logan; Б/у;  б/у; ; ;0;0;1;3000; 
357; Стекло левого зеркала; Daewoo Espero; Б/у;  б/у; ; ;0;0;1;500; 
358; Зеркло левое  0175; Honda CR-V; Б/у;  б/у; ; ;2006;2011;1;7000; 
359; Зеркло правое( без стекла) 0192; Audi A6; Б/у;  б/у; ; ;0;0;1;4000; 
360; Зеркло левое; Audi A6; Б/у;  б/у; ; ;0;0;1;7000; 
361; Зеркло левое(без крышки)  0523; Mitsubishi Outlander; Б/у;  б/у; ; ;2006;2011;1;4000; 
362; Зеркло правое; Honda CR-V; Б/у;  б/у; ; ;2001;2005;1;7000; 
363; Зеркло левое  (без крышки); Toyota Corolla; Б/у;  б/у; ; ;2006;2010;1;4500; 
364; Зеркло правое  0535; Мitsubishi Lancer; Б/у;  б/у; ; ;2002;2006;1;4000; 
365; Зеркло левое; Nissan Micra; ;  Taiwan; ; ;2002;2012;1;1750; 
366; Зеркло правое; Nissan Micra; ;  Taiwan; ; ;2002;2012;1;1750; 
367; Зеркло левое; Nissan Micra; Б/у;  б/у; ; ;2002;2012;1;5000; 
368; Стойка аморт.перед (2.2d,2.7i); Hyundai Santa Fe ; ;  kyb;334507; ;2006;2009;1;500; 
369; Стойка аморт.перед (2.2d,2.7i); Hyundai Santa Fe ; ;  kyb;334506; ;2006;2009;1;500; 
370; Стойка аморт. зад.; Toyota Krown ; ;  kyb;344256; ;1996;2001;1;500; 
371; Решётка бампера; Honda Accord ; ;  Taiwan; ; ;2006;2007;1;750; 
372; Стойка аморт.перед.; Toyota Krown ; ;  kyb;344109; ;1996;2001;1;500; 
373; Решётка радиатора; Ford Fiesta; ;  Taiwan; ; ;2008;2012;1;1150; 
374; Молдинг бампера пер. правый; Nissan Tiida; ;  ориг.; ; ;2005;2012;1;750; 
375; Молдинг решетки радиатора; Skoda Fabia; ;  ориг.; ; ;2007;2012;1;750; 
376; Решётка радиатора ; Honda Civic 5d; ;  Taiwan; ; ;2006;2009;1;2800; 
377; Решётка радиатора (черн); Ford Focus; ;  Taiwan; ; ;2005;2008;1;1200; 
378; Решётка радиатора (хром); Ford Focus; ;  Taiwan; ; ;2005;2008;1;1500; 
379; Решётка радиатора ; Hyundai Sonata ; ;  Taiwan; ; ;2002;2006;1;2500; 
380; Решётка радиатора ; Opel Astra ; ;  Taiwan; ; ;1992;1994;1;750; 
381; Решётка радиатора ; Ford Mondeo ; ;  Taiwan; ; ;2007;2012;1;3000; 
382; Решётка радиатора ; Nissan Qashqai; ;  Taiwan; ; ;2006;2010;1;4500; 
383; Решётка радиатора ; Opel Omega; ;  Taiwan; ; ;1994;1999;2;1500; 
384; Решётка радиатора ; Toyota Prado; ;  Taiwan; ; ;2002;2009;1;2500; 
385; Решётка бампера ; BMW  (E39); ;  Taiwan; ; ;1995;2000;1;400; 
386; Решётка бампера ; Daewoo Matiz; ;  Taiwan; ; ;2001;2012;1;300; 
387; Решётка радиатора правая; Mitsubishi Outlander; ;  Taiwan; ; ;2003;2006;1;850; 
388; Решётка радиатора левая; Mitsubishi Outlander; ;  Taiwan; ; ;2003;2006;1;850; 
389; Решётка радиатора правая; BMW  (E39); ;  Taiwan; ; ;2000;2003;1;1100; 
390; Решётка радиатора левая; BMW  (E39); ;  Taiwan; ; ;2000;2003;1;1100; 
391; Решётка радиатора (комплект); BMW (E92); Б/у;  б/у; ; ;2006;2010;2;2000; 
392; Решётка радиатора (прав.) ; Nissan Micra; Б/у;  б/у; ; ;2002;2008;1;1000; Реализация**
393; Решётка радиатора (комплект); Renault Megane; ;  Taiwan; ; ;2003;2005;1;1200; 
394; Решётка радиатора (лев.) - 0412; Nissan Primera; Б/у;  б/у; ; ;2002;2007;1;1000; 
395; Решётка бампера (х/б); Mazda 3; ;  Mazda ; ; ;2003;2006;1;2500; 
396; Решётка бампера (седан); Mazda 3; ;  Mazda ; ; ;2006;2009;1;3000; 
397; Решётка радиатора; Mazda 6; ;  Taiwan; ; ;2002;2007;1;2000; 
398; Решётка бампера; Ауди А6; ;  Taiwan; AD99012GA; ;1997;2000;1;450; 
399; Решётка туманки левая; Toyota Camry; ;  Taiwan; ; ;2006;2010;1;350; 
400; Решётка туманки правая; Toyota Camry; ;  Taiwan; ; ;2006;2010;1;350; 
401; Решётка радиатора; Toyota Camry; ;  тайвань; ; ;2001;2005;1;2500; 
402; Решётка бампера левая  0130; Ауди; Б/у;  б/у; ; ;0;0;1;1500; 
403; Решётка радиатора; Lexus RX300; Б/у;  б/у; ; ;0;0;1;4000; 
404; Радиатор основной новый (мех); Aveo; ;  Taiwan; ; ;2004;2012;1;3250; 
405; Радиатор основной новый (мех); Daewoo Matiz; ;  Taiwan; ; ;2001;2012;1;2600; 
406; Радиатор основной новый; Toyota Corolla; ;  Taiwan; ; ;2006;2010;1;2700; 
407; Радиатор основной новый; Honda; ;  Taiwan; ; ;0;0;1;6500; 
408; Радиатор основной новый; Toyota Camry; ;  Taiwan; ; ;2001;2005;1;5500; 
409; Радиатор основной новый; Toyota RAV4 ; ;  Taiwan; ; ;1994;2000;1;4000; 
410; Радиатор основной новый; Mazda 323; ;  Taiwan; ; ;1998;2004;1;4000; 
411; Радиатор кондиционера новый; Mazda 323; ;  Taiwan; ; ;1998;2004;1;4000; 
412; Радиатор кондиционера новый; Nissan Almera ; ;  Taiwan; ; ;2002;2005;1;6000; 
413; Радиатор кондиционера ; BMW (E92); ;  Taiwan; ; ;2006;2011;1;9000; 
414; Радиатор кондиционера ; Honda Civic 5d; Б/у;  б/у; ; ;2006;2011;1;6000; 
415; Радиатор кондиционера новый; Lexus RX300; ;  Taiwan; ; ;2003;2008;1;8500; 
416; Лампа; НВ 4; ;  ; ; ;0;0;5;150; 
417; Лампа; Н 4; ;  ; ; ;0;0;7;100; 
418; Лампа; Н 1; ;  ; ; ;0;0;10;100; 
419; Мотор+вентилятор конд.; Audi A6; ;  Taiwan; AU1403930; ;1997;2000;1;4000; 
420; Лампа; Н 11; ;  ; ; ;0;0;4;150; 
421; Молдинг бампера левый; Toyota Avensis; ;  Taiwan; ; ;0;0;1;1100; 
422; Молдинг бампера правый; Toyota Avensis; ;  Taiwan; ; ;2003;2007;1;1100; 
423; Молдинг бампера левый; Opel Corsa ; ;  Taiwan; ; ;2000;2005;1;350; 
424; Молдинг бампера правый; Opel Corsa ; ;  Taiwan; ; ;2000;2005;1;350; 
425; Молдинг бампера правый; Ford Focus; ;  Taiwan; ; ;2002;2007;1;350; 
426; Молдинг бампера левый; Ford Focus; ;  Taiwan; ; ;2002;2007;1;350; 
427; Петля капота левая; Ford Mondeo; ;  Taiwan; ; ;1993;1996;1;550; 
428; Петля капота правая; Ford Mondeo; ;  Taiwan; ; ;1993;1996;1;550; 
429; Петля капота левая; Ford Focus; ;  Taiwan; ; ;2005;2008;1;550; 
430; Петля капота правая; Ford Focus; ;  Taiwan; ; ;2005;2008;1;550; 
431; Петля капота левая; Mazda 6; ;  Taiwan; ; ;2002;2007;1;500; 
432; Петля капота правая; Mazda 6; ;  Taiwan; ; ;2002;2007;1;500; 
433; Направляющая стекла пер.прав.дв.; Kia Sorento; ;  ориг.; ; ;0;0;1;300; 
434; Кронштейн салонного фонаря; Kia Sorento; ;  ориг.; ; ;0;0;1;500; 
435; Бархотка стекла наруж.зад.лев.двери; Chevrolet Lacetti; ;  ориг.; ; ;0;0;1;500; 
436; Бархотка стекла наруж.пер.лев.двери; Chevrolet Lacetti; ;  ориг.; ; ;0;0;1;500; 
437; Молдинг задней передней двери; Chevrolet Lacetti; ;  ориг.; ; ;0;0;1;500; 
438; Молдинг левой передней двери; Chevrolet Lacetti; ;  ориг.; ; ;0;0;1;500; 
439; Наконечник рулевой; Volkswagen Golf ; ;  Febi;14184; ;0;0;1;500; 
440; Брызговик ; Suzuki Vitara; ;  Suzuki; ; 7226165J00;2006;2010;1;600; 
441; Уплотнитель крыла лев. (рост); Toyota Camry; ;  Toyota; ;5388333031;2006;2010;1;500; 
442; Крышка радиатора в сборе (рост); Mitsubishi Outlander; ;  ; ; ;2006;2010;1;1500; 
443; Пыльник ШРУСа вутр.прав., смазка; Honda Accord; ;  Honda ; ; 44017TA0A50;2008;2012;1;2000; 
444; Крышка торм. бочка (рост); Audi; ;  ; ; ;0;0;1;300; 
445; Дефлектор капота; Nissan Patfinder; ;  ; ; ;0;0;1;1500; 
446; Привод омыв. фар левый(рост); Nissan Note; ;  ; ; ;0;0;1;1000; 
447; Датчик хол.хода; Мitsubishi Lancer; Б/у;  б/у; ; ;2007;2010;1;3000; 
448; Датчик srs бок. удара; Honda CR-V; ;  ; ; ;2006;2011;1;2000; 
449; Замок капота; BMW (E92); ;  ; ; ;0;0;1;3500; Реализация**
450; Замок крышки багажника ; Мitsubishi Lancer; Б/у;  б/у; ; ;2003;2006;1;1000; 
451; Замок крышки багажника 0184; Мitsubishi Lancer; Б/у;  б/у; ; ;2007;2010;1;1000; 
452; Блок поджига; БМВ (Е46); Б/у;  б/у; ; ;0;0;2;4000; 
453; Лиц. панель под ауд. сист.; Мitsubishi Lancer; Б/у;  б/у; ; ;2007;2010;1;1500; 
454; Панель приборов - 2; Honda Civic 5d; Б/у;  б/у; ; ;0;0;1;6500; 
455; Панель приборов - 1; Honda Civic 5d; Б/у;  б/у; ; ;0;0;1;6500; 
456; Магнитола с панелью упр.; Honda Civic 5d; Б/у;  б/у; ; ;0;0;1;9000; 
457; Щиток приборов; Honda Civic 5d; Б/у;  б/у; ; ;0;0;1;6500; 
458; Щиток приборов; Hyundai Getz; Б/у;  б/у; ; ;2002;2005;1;1000; 
459; Клипсы (расш. арка крыла) -16 шт.; Toyota RAV4; ;  Toyota; ;7539642020;2000;2005;1;100; 
460; Привод омывателя фар (правый); Мitsubishi Pajero ; Б/у;  б/у; ; ;2007;2012;1;3000; 
461; Бархотка стекла пер.лев.; Nissan Almera ; ;  Nissan; ; 8082195F0A;2006;2012;1;2700; 
462; Диск тормозной; Audi; ;  NK;204759; 1J0615301M;0;0;2;1200; 
463; Ступица задняя; Honda CR-V; ;  Febest; 0382RD1R; 42210S10A00;1997;2001;2;2000; 
464; Ступица задняя; Audi; ;  SKF; VKBA3644; ;0;0;1;3200; 
465; Эмблема; Toyota; ;  ; ; ;0;0;1;300; 
466; Бачок расширительный; Mercedes Benz; ;  Hans Pries;400893; A2205000049;0;0;1;2300; 
467; Планка решетки радиатора (хром); Chevrolet; ;  ; ; ;0;0;1;500; 
468; Балка бампера; Kia Sorento; ;  KIA; ;8,66E+05;0;0;1;2000; 
469; Планка(под замок багажника); Hyundai Tucson; ;  Hyundai; ; 857702E001WK;2005;2009;1;1500; 
470; Катушка зажигания; Daewoo Matiz; ;  TSN;1211;96336522;0;0;1;450; 
471; Накладная защита 0129; Ауди; ;  ; ; ;0;0;1;1500; 
472; Деталь (пластик); 300,807,718; ;  VW; ; ;0;0;1;200; 
473; Заглушка колесная; BMW; ;  ; ; ;0;0;2;250; 
474; Трубка (метал.); Kia; ;  Kia; ; ОК2А232480В;0;0;1;800; 
475; Бронепровод; Ford ; ;  Ford ;6170396; ;0;0;1;100; 
476; Значок; VW; ;  ; ; ;0;0;1;1000; 
477; Сальник редуктора зад.моста; X5, Z4; ;  ; ; ;0;0;1;400; 
478; Рулевой наконечник; Toyota; ;555; SE2651;4504629305;0;0;1;550; 
479; Опора шаровая; Toyota; ;  CTR; СВТ32R;4333019065;0;0;2;550; 
480; Подушка двиг.toyoya sprinter carib; Toyota Carib; ;  ; ; ;0;0;1;700; 
481; Ремень приводной; ; ;  micro-v; 4 PK 728; ;0;0;1;200; 
482; Тяга стабилизатора; Opel; ;  delphi; ТС686;350610;0;0;2;150; 
483; Ремень приводной; ; ;  micro-v; 6 PK 955; ;0;0;1;300; 
484; Ремень приводной; ; ;  conti; 4 PK 1240; ;0;0;1;200; 
485; Ремень приводной; ; ;  conti; AV 10*725; ;0;0;1;100; 
486; Ремень приводной; ; ;  conti; 10*913; ;0;0;1;100; 
487; Ремень приводной; ; ;  conti; 6 PK 1125; ;0;0;1;250; 
488; Ремень приводной; ; ;  conti; 5 PK 1585; ;0;0;1;300; 
489; Ремень приводной; ; ;  conti; 6 PK 1693; ;0;0;1;400; 
490; Ремень приводной; ; ;  conti; 6 PK 1800; ;0;0;1;350; 
491; Ремень приводной; ; ;  conti; 6 PK 2415; ;0;0;1;500; 
492; Ремень приводной; ; ;  conti; 5 PK 900; ;0;0;1;150; 
493; Ремень приводной; ; ;  conti; AVX 10*940; ;0;0;1;150; 
494; Ремень приводной; ; ;  conti; 5 PK 950; ;0;0;1;200; 
495; Ремень ГРМ; Honda; ;  Honda; ; 14400Р7А004;0;0;1;850; 
496; Ремень ГРМ; Honda; ;  Honda; ; 14400РОА004;0;0;1;850; 
497; Фильтр АКПП; Mazda Familia; ;  Mazda; ; FN0121500;0;0;1;1500; 
498; Фильтр топливный; Toyota Carib; ;  ; б/н; ;0;0;1;200; 
499; Фильтр топливный; Subaru Forester; ;  ; б/н; ;0;0;1;1200; 
