№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
48;Пружины аммортизационные задние;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0713;;1991;1999;1;500;;
49;Стекло глухое заднее левое;Suzuki Grand Vitara;Б/у;Состояние/Износ - хор.. Сузуки Гранд-Витара;W0948;;2006;3000;1;2000;;
50;Бампер передний;Skoda;Б/у;Состояние/Износ - 10%. Шкода;W0328;;0;0;1;3000;;
51;Пластик салон центр. Стойки;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0452;;2002;3000;1;1000;;
52;Селектор переключения дворников и света;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0714;;1991;1999;1;500;;
53;Крыло переднее правое до рестайл.;Toyota Avensis II;Б/у;Состояние/Износ - 15%. Авенсис;W0002;;2003;2008;1;2000;;
54;Капоты новые ;Daewoo Espero;Б/у;Состояние/Износ - . Дэу Эсперо;W0891;;1991;1999;9;6000;;
55;Обшивка внутрення передней левой двери;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0928;;2002;2009;1;1000;;
56;Дверь передняя левая;Audi A4;Б/у;Состояние/Износ - 5%. Ауди А4 (B8);W0073;;2007;3000;1;3000;;
57;Панель внешняя левая пластик;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0797;;2002;2009;1;1000;;
58;Стойка центральная правая;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0710;;1991;1999;1;1000;;
59;Блок управления АКПП;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0715;;1991;1999;1;500;;
60;Капот;Ford Focus II;Б/у;Состояние/Износ - 20%. Форд Фокус 2 рест.;W0341;;2008;2011;1;5000;;
61;Крышка багажника;Audi A4;Б/у;Состояние/Износ - 10%. Ауди А4 (B8);W0303;;2007;3000;1;5000;;
62;Дверь передняя правая;Ford Fiesta;Б/у;Состояние/Износ - 10%. Форд Фиеста;W0059;;2001;2007;1;6000;;
63;Стартер;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0469;;2002;3000;1;2000;;
64;Селектор АКПП;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0163;;1991;1999;1;1000;;
65;Бампер передний;Hyundai Getz;Б/у;Состояние/Износ - 10%. Гетц(рест.);W0142;;2002;3000;1;2000;;
66;Направляющая заднего бампера лев,прав;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0942;;2002;2009;1;500;;
67;Катушки зажигания;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0943;;2002;2009;1;2000;;
68;Бампер задний;Mazda 3 Х/б;Б/у;Состояние/Износ - хор.. Мазда3 х/б;W0325;;2002;2009;1;3500;;
69;Крыло переднее правое;Mazda 3 Х/б;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W0954;;2002;2009;1;2000;;
70;Дверь передняя левая;Mazda 3 Х/б;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W0960;;2002;2009;1;7000;;
71;Обшивка внутрення задней левой двери;Mazda 3 Х/б;Б/у;Состояние/Износ - хор.. Мазда3 х/б;W0978;;2002;2009;1;1500;;
72;Крыло переднее правое;Mazda 3 Х/б;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W0999;;2002;2009;1;2500;;
73;Крыло переднее левое;Mazda 3 Х/б;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W1006;;2002;2009;1;2500;;
74;Рычаг продольный задний левый в сборе;Mazda 3 Х/б;Б/у;Состояние/Износ - хор.. Мазда3 х/б;W1017;;2002;2009;1;8000;;
75;Диск тормозной в сборе с суппортом правый;Mazda 3 Х/б;Б/у;Состояние/Износ - хор.. Мазда3 х/б;W1018;;2002;2009;1;1500;;
76;Капот;Mazda 3 Х/б;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W1039;;2002;2009;1;5000;;
77;Бампер передний спорт;Mazda 3 Седан;Б/у;Состояние/Износ - . Мазда3;W0944;;2002;2009;1;6000;;
78;Амортизатор зад лев,прав;Mazda 3 Седан;Б/у;Состояние/Износ - хор.. Мазда3 (седан);W0007;;2002;2009;1;2000;;
79;Дроссельная заслонка с впуск. Коллек.;Mazda 3 Седан;Б/у;Состояние/Износ - хор.. Мазда3;W0197;;2002;2009;1;5000;;
80;Порог со стойкой левый (новый);Mazda 3 Седан;Б/у;Состояние/Износ - . Мазда3(седан);W0426;;2002;2009;1;5000;;
81;Порог со стойкой правый (новый);Mazda 3 Седан;Б/у;Состояние/Износ - . Мазда3(седан);W0427;;2002;2009;1;5000;;
82;Крыло переднее правое;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W0495;;2002;2009;1;2000;;
83;Дверь передняя правая;Mazda 3 Седан;Б/у;Состояние/Износ - 15%. Мазда3(седан);W0727;;2002;2009;1;8000;;
84;Крыло переднее левое;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W0953;;2002;2009;1;2000;;
85;Крыло переднее правое;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1001;;2002;2009;1;2500;;
86;Крыло переднее левое;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1003;;2002;2009;1;2500;;
87;Крыло переднее левое;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1007;;2002;2009;1;2500;;
88;Дверь задняя правая;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1030;;2002;2009;1;6000;;
89;Дверь задняя левая;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1033;;2002;2009;1;6000;;
90;Дверь задняя левая с молдингом;Mazda 3 Седан;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1035;;2002;2009;1;6000;;
91;Крышка багажника;Mazda 3;Б/у;Состояние/Износ - 10%. Мазда3(седан);W1037;;2009;3000;1;6000;;
92;Дверь задняя правая;Mazda 3;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W1027;;2009;3000;1;7000;;
93;Дверь задняя левая;Mazda 3;Б/у;Состояние/Износ - 10%. Мазда3 х/б;W1029;;2009;3000;1;7000;;
94;Капот;BMW 1 E87/81;Б/у;Состояние/Износ - 15%. БМВ 1;W0605;;2004;2011;1;7000;;
95;Крыло переднее правое рестайл.;BMW 3,  E46;Б/у;Состояние/Износ - 10%. БМВ 3 (Е46);W0001;;1998;2005;1;2000;;
96;Внутренние части задней правой двери;Mitsubishi Outlander XL;Б/у;Состояние/Износ - хор..;W0698;;2006;3000;1;1000;;
97;АКПП;Mitsubishi Outlander XL;Б/у;Состояние/Износ - 20%.;W0700;;2006;3000;1;15000;;
98;Ваккум;Mitsubishi Lancer;Б/у;;W0701;;2002;2007;1;3000;;
99;Обшивка дверей задних левая и правая;Mitsubishi Outlander XL;Б/у;Состояние/Износ - .;W0767;;2006;3000;1;2000;;
