№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
1;Крыло переднее левое;Hyundai Accent;;;HYAN00F54;;2000;2012;1;1200;;
2;Крыло переднее левое;Mazda 3;;Седан;MZX0304270L;;2003;2008;1;1200;;
3;Крыло переднее левое;BMW E39;;;BME3996-270-L;41358162133;1995;2003;1;2300;;
4;Крыло переднее правое;BMW E39;;;BME3996-270-R;41358162134;1996;2003;1;2300;;
5;Крыло переднее левое;Ford C-Max;;с отверстием под повторитель;FDMAX03-270-L;1327611;2003;2006;1;2000;;
6;Крыло переднее правое;Ford C-Max;;с отверстием под повторитель;FDMAX03-270-R;1327609;2003;2006;1;2000;;
7;Крыло переднее левое;Mitsubishi Lancer;;;MBLAN04-270-L;MN150625;2002;2006;1;1500;;
8;Крыло переднее левое;Mitsubishi Lancer;;;MBLAN07-270-L;5220C527;2006;2010;2;1800;;
9;Крыло переднее правое;Mitsubishi Lancer;;;MBLAN07-270-R;5220C528;2006;2011;2;1800;;
10;Крыло переднее левое;Toyota Corolla;;;TYCRL06-271-L;5381212A10;2006;2010;1;1700;;
11;Крыло переднее левое;Volkswagen Passat;;;VWPAS97-270-L;3B0821105C;1997;2000;1;1300;;
12;Крыло переднее правое;Volkswagen Passat;;;VWPAS97-270-R;3B0821106C;1997;2000;1;1300;;
13;Крыло переднее левое;Volkswagen Passat;;без отверстия под повторитель;VWPAS03-270-L;3B0821105G;2003;2005;1;900;;
14;Крыло переднее левое;Volkswagen Passat;;;VWPAS05-270-L;3C0821021;2005;2011;1;1000;;
15;Крыло переднее правое;Volkswagen Passat;;;VWPAS05-270-R;3C0821022;2005;2011;1;1000;;
16;Крыло переднее правое;Volkswagen Passat;;с отверстием под повторитель;VWPAS01-270-R;3B0821106E;2001;2003;1;900;;
17;Диффузор в сборе кондиционера ;Volkswagen Passat;;;VWPAS97-940;8D0959455C;1997;2004;3;2500;;
18;Диффузор в сборе кондиционера;Audi A4;;;VWPAS97-940;8D0959455C;1997;2004;1;2500;;
19;Диффузор в сборе кондиционера;Audi A6;;;VWPAS97-940;8D0959455C;1997;2004;3;2500;;
20;Диффузор в сборе кондиционера;Audi A8;;;VWPAS97-940;8D0959455C;1997;2004;1;2500;;
21;Крыло переднее левое;Kia Ceed;;; KACEE07-270-L;663111H010;2007;2011;1;3000;;
22;Крыло переднее правое;Kia Ceed;;;KACEE07-270-R;663211H010;2007;2011;1;3000;;
23;Усилитель бампера переднего;Kia Ceed;;;KACEE07-240;865301H000;2007;2011;1;2500;;
24;Крыло переднее левое;Nissan Qashqai;;;NNQAS07-271-L;F3101JD0M0;2007;2010;1;3500;;
25;Крыло переднее правое;Nissan Qashqai;;;NNQAS07-271-R;F3100JD0M0;2007;2010;1;3500;;
26;Крыло переднее левое;Ford Mondeo;;;FDMON97-270-L;1024176;1997;1999;1;1200;;
27;Крыло переднее правое;Ford Mondeo;;;FDMON97-270-R;1024175;1997;1999;1;1200;;
28;Крыло переднее левое;Opel Corsa;;;OPCOR01-270-L;1101031;2001;2006;1;1000;;
29;Крыло переднее правое;Opel Corsa;;;OPCOR01-270-R;1102030;2001;2006;1;1000;;
30;Крыло переднее левое;Audi A4;;;AI0A499-270-L;8D0821105M;1999;2001;1;1500;;
31;Крыло переднее правое;Audi A4;;;AI0A499-270-R;8D0821106M;1999;2001;1;1500;;
32;Крыло переднее левое;Audi A4;;с отверстием под эмблему,оцинковано;AI0A494-270C-L;;1994;1997;1;1200;;
33;Крыло переднее левое;Audi A4;;;AI0A405270L;;2005;2007;1;1800;;
34;Крыло переднее левое;Toyota Corolla;;седан,хэтчбек с отверстием под повторитель.;TYCRL88-270-L;538021E380;1988;1991;1;1700;Наше;
35;Крыло переднее левое;Honda CRV;;с отверстием под повторитель,без отверстия под зеркало.;HDCRV96-270-L;;1996;2002;1;1300;;
36;Крыло переднее левое;Honda CRV;;;HDCRV07-270-L;60261SWAA90ZZ;2006;2011;1;1400;;
37;КРЫЛО ПЕРЕДН ЛЕВ;Toyota Rav 4;;С ОТВ П/ПОВТОРИТЕЛЬ БЕЗ ОТВ П/МОЛДИНГ;TYRV400-273-L;5380242120;2000;2005;1;2100;;
38;КРЫЛО ПЕРЕДН ПРАВ;Toyota Rav 4;;С ОТВ П/ПОВТОРИТЕЛЬ БЕЗ ОТВ П/МОЛДИНГ;TYRV400-273-R;5381142150;2000;2005;1;2100;;
39;КРЫЛО ПЕРЕДН ПРАВ;Nissan X-Trail;;Тайвань;NNXTR01-270-R;631128H400;2001;2007;1;5700;наше;
40;КРЫЛО ПЕРЕДН ЛЕВ;Mazda 3;;С ОТВ П/ПОВТОРИТЕЛЬ (седан) Тайвань;MZX0303-270-L;BN8V52211D;2003;2008;1;1200;;
41;КРЫЛО ПЕРЕДН ПРАВ ;Mazda 3;;С ОТВ П/ПОВТОРИТЕЛЬ (СЕДАН) Тайвань;MZX0304-270-R;BN8V52111C;2004;2008;2;1200;;
42;КРЫЛО ПЕРЕДН ЛЕВ;Opel Astra;;Тайвань;OPAST98-270-L;6101303;1998;2003;1;1500;;
43;КРЫЛО ПЕРЕДН ПРАВ;Renault Logan;;Тайвань;RNLOG05-270-R;6001546713;2005;2012;1;1350;;
44;КРЫЛО ПЕРЕДН ПРАВ;Audi A4;;Тайвань;AI0A405-270-R;8E0821106F;2005;2007;1;1700;;
45;КРЫЛО ПЕРЕДН ПРАВ ;Mazda 6;;С ОТВ П/ПОВТОРИТЕЛЬ Тайвань;MZ00602-270-R;GJ6A52111E;2002;2007;2;1300;;
46;КРЫЛО ПЕРЕДН ПРАВ;Toyota Corolla;;С ОТВ П/ПОВТОРИТЕЛЬ (СЕДАН) (УНИВЕРСАЛ)Тайвань;TYCRL02-272-R;538111H190;2002;2006;1;1200;;
47;КРЫЛО ПЕРЕДН ПРАВ;Toyota Avensis;;С ОТВ П/ПОВТОРИТЕЛЬ Тайвань;TYAVE03-271-R;5381105020;2003;2005;1;1800;;
48;КРЫЛО ПЕРЕДН ПРАВ;Chevrolet Aveo;;(СЕДАН)Тайвань;CVAVE06-270-R;96649246;2006;2008;1;2000;;
49;КРЫЛО ПЕРЕДН ПРАВ;Audi A4;;С ОТВ П/ЭМБЛЕМУ ОЦИНКОВ Тайвань;AI0A494-270C-R;8D0821106;1994;1997;1;1200;;
50;КРЫЛО ПЕРЕДН ПРАВ;Toyota Corolla;;С ОТВ П/ПОВТОРИТЕЛЬ (СЕДАН)Тайвань;TYCRL06-271-R;5381112A10;2006;2010;1;1400;;
51;КРЫЛО ПЕРЕДН ПРАВ;Ford Focus;;Тайвань;FDFOC08-270-R;1521596;2008;2011;1;1700;;
52;КРЫЛО ПЕРЕДН ПРАВ ;Nissan Micra;;С ОТВ П/ПОВТОРИТЕЛЬ Тайвань;NNMIC03-271-R;63100AX630;2003;2012;1;1100;;
53;УСИЛИТЕЛЬ БАМПЕРА ПЕРЕДН;Mitsubishi Outlander;;;MBOTL07-240;6400A781;2007;2011;1;6000;;
54;СУППОРТ РАДИАТОРА ;Toyota Avensis;;Тайвань;TYAVE03-380;5320105040;2003;2009;1;2800;;
55;СУППОРТ РАДИАТОРА;Renault Logan;;Тайвань;RNLOG05-380;6001546919;2005;2012;1;2000;;
56;СУППОРТ РАДИАТОРА;Toyota Corolla;;(СЕДАН) (УНИВЕРСАЛ) Тайвань;TYCRL02-380;532011A200;2002;2006;1;2000;;
57;СУППОРТ РАДИАТОРА;Toyota Camry;;(телевизор) Тайвань;TYCAM06-380;5320133160;2006;2011;1;3000;;
58;СУППОРТ РАДИАТОРА;Toyota Camry;;(телевизор) Тайвань;TYCAM02-380;5320133140;2002;2006;1;2500;;
59;КАПОТ ;Chevrolet Aveo;;(СЕДАН) Тайвань;CVAVE06-330;96649257;2006;2012;1;4000;;
60;КАПОТ;Chevrolet Aveo;;Тайвань;CVAVE04-330;96297541;2004;2008;1;3000;;
61;КАПОТ;Mazda 3;; (ХЭТЧБЭК) Тайвань;MZX0304-331;BPYK5231X;2004;2008;1;4000;;
